,driver.externalId,driver.firstName,driver.lastName,driver.nonLatinFirstName,driver.nonLatinLastName,driver.dateOfBirth,driver.email,driver.license,driver.cardNumber,driver.idType,driver.idDocumentNumber,driver.idIssueDate,driver.idExpirationDate,driver.idIssuingCountry,driver.address,driver.postalCode,driver.city,driver.country,driver.contractStartDate,driver.contractApplicableLaw
0,,Scott,Smith,,,19660328,katie24@gmail.com,2767888987,9399537171418776,ID,9372346555882428,20190318,20290318,PY,Sims Neck Mall 52,28611,Stephanieberg,AT,20210806,BE
1,,Derrick,Benson,,,19630522,carneykelly@gmail.com,5573285663,7358655342778764,ID,4645919256455284,20201220,20301220,KW,Phelps Mount Burg 54,38227,Perrymouth,BY,20210601,BE
2,,Brian,Rosario,,,19620716,pettyandrew@yahoo.com,6393457879,4833977523631872,ID,9826954113398916,20170701,20270701,MT,Carol Drives Gateway 93,91259,East Jamesport,GY,20210313,BE
3,,Audrey,Briggs,,,20030203,bwilliams@hotmail.com,1834436347,5113732781988947,ID,3626622498614832,20140724,20240724,SK,Daniel Pine Key 57,12496,Richardsmouth,CI,20210618,BE
4,,Lauren,Lyons,,,19911116,marie52@hotmail.com,6598633237,6197435621842815,ID,4663357729237624,20200615,20300615,PY,Stewart Villages Inlet 93,57368,Brianton,TZ,20210325,BE
5,,Charles,Price,,,19840708,andrew88@hotmail.com,7377763538,6242328389743678,ID,6885614749399524,20140703,20240703,BW,Jose Island Ports 46,79392,West Rhonda,GN,20201129,BE
6,,Carla,Terry,,,19910804,huntcheryl@yahoo.com,8661559857,2256117911941692,ID,7332727175328823,20210201,20310201,HR,Cross Point Trail 66,53066,South Linda,KM,20210313,BE
7,,Jennifer,Dickerson,,,19590331,rhunt@hotmail.com,8546871593,9148862362889744,ID,8451852733983522,20151110,20251110,AE,James Coves Crossroad 18,35745,Lindahaven,VA,20210710,BE
8,,David,Bailey,,,19730706,johnsonmarcus@hotmail.com,4557823769,6639627129424645,ID,2839134332956879,20160302,20260302,OM,Glover Burg Mountains 28,80792,Jamesbury,NA,20210408,BE
9,,Brandon,Finley,,,20010919,vgross@gmail.com,3794263787,8187491595558533,ID,4461141886616914,20130401,20230401,MK,Alvin Flat Ramp 23,66510,Hancockbury,KZ,20210817,BE
10,,Stephen,Russell,,,19930202,sanchezcarol@hotmail.com,6387528377,2588176663885413,ID,5115925799787278,20150816,20250816,SG,Mendez Vista Estate 13,34617,Sullivanborough,RO,20210525,BE
11,,Kellie,Chaney,,,19760530,gholmes@gmail.com,8474384952,5225951999719759,ID,5431591718721745,20170508,20270508,ST,Jennifer Way Drive 91,9489,Nolanburgh,GA,20201116,BE
12,,Stephanie,Carter,,,19590506,ryan63@yahoo.com,9586317734,3399198579983674,ID,4795127652239589,20130909,20230909,KN,Heidi Stravenue Rest 53,66892,East Javierhaven,HR,20201120,BE
13,,Jennifer,Greene,,,19740415,christopher99@hotmail.com,6281774615,2493855939565592,ID,5473911751463869,20161118,20261118,KI,David Ridge Ramp 30,75234,Haleystad,BD,20210701,BE
14,,Michael,Black,,,19860603,xmartinez@hotmail.com,1166639146,4211533442338751,ID,8869248871741398,20130803,20230803,TJ,Daniels Points Street 32,12793,Keithbury,AG,20210515,BE
15,,Tiffany,Moses,,,19760102,wrightdaniel@gmail.com,5512497133,8925185385565597,ID,2275169393898719,20190623,20290623,UG,Gibson Land Keys 78,81417,Port Pamelafurt,AD,20210721,BE
16,,Madeline,Gomez,,,19950922,andersonjeremy@yahoo.com,4191733261,5485351542437565,ID,3565837281864971,20170812,20270812,MU,Jackson Light Underpass 83,556,North Levi,IQ,20210615,BE
17,,Miranda,Hunter,,,19580309,uhoffman@gmail.com,8575638613,3415524643484165,ID,9381335436323362,20130827,20230827,DM,Gonzalez Trail Crossroad 28,87687,Josephbury,PW,20210707,BE
